sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model,checkpoint,n_params
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,9.176526069641113,9.176526069641113,9.176526069641113,6.754015922546387,2.5320234298706055,1, port,True,EleutherAI/pythia-160m,2000,162322944
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,11.688875198364258,11.688875198364258,11.688875198364258,7.543075084686279,2.6441428661346436,1, port,True,EleutherAI/pythia-160m,2000,162322944
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,7.3066534996032715,7.3066534996032715,7.3066534996032715,3.4405436515808105,7.121397018432617,1, scales,True,EleutherAI/pythia-160m,2000,162322944
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,11.039664268493652,11.039664268493652,11.039664268493652,3.290131092071533,7.442968845367432,1, scales,True,EleutherAI/pythia-160m,2000,162322944
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,2.9450745582580566,2.9450745582580566,2.9450745582580566,7.00357723236084,9.893266677856445,1, table,True,EleutherAI/pythia-160m,2000,162322944
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,6.383506774902344,6.383506774902344,6.383506774902344,6.823854923248291,10.203189849853516,1, table,True,EleutherAI/pythia-160m,2000,162322944
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,5.377505302429199,5.377505302429199,5.377505302429199,4.645978927612305,1.3397374153137207,1, diamond,True,EleutherAI/pythia-160m,2000,162322944
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,8.473078727722168,8.473078727722168,8.473078727722168,4.959983825683594,1.4456462860107422,1, diamond,True,EleutherAI/pythia-160m,2000,162322944
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,5.699802398681641,5.699802398681641,5.699802398681641,5.043791770935059,1.511246919631958,1, bill,True,EleutherAI/pythia-160m,2000,162322944
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,7.358267784118652,7.358267784118652,7.358267784118652,5.587447643280029,1.3201613426208496,1, bill,True,EleutherAI/pythia-160m,2000,162322944
Kara's loud neighbors made so much racket that it made the racket her kids were making seem like nothing.,racket,subordinate,yes,no,7.819026947021484,7.819026947021484,7.819026947021484,6.941596031188965,6.727164268493652,1, racket,True,EleutherAI/pythia-160m,2000,162322944
Kara's loud neighbors made so much noise that it made the racket her kids were making seem like nothing.,racket,subordinate,no,no,9.371227264404297,9.371227264404297,9.371227264404297,7.168570041656494,6.242991924285889,1, racket,True,EleutherAI/pythia-160m,2000,162322944
