sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model,checkpoint,n_params
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,10.570356369018555,10.570356369018555,10.570356369018555,10.024097442626953,7.416881561279297,1, port,True,EleutherAI/pythia-160m,64,162322944
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,10.61350154876709,10.61350154876709,10.61350154876709,10.028278350830078,7.409883499145508,1, port,True,EleutherAI/pythia-160m,64,162322944
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,10.700417518615723,10.700417518615723,10.700417518615723,6.834372520446777,10.803953170776367,1, scales,True,EleutherAI/pythia-160m,64,162322944
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,10.71864128112793,10.71864128112793,10.71864128112793,6.7903923988342285,10.809976577758789,1, scales,True,EleutherAI/pythia-160m,64,162322944
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,10.90754508972168,10.90754508972168,10.90754508972168,10.469297409057617,10.18102741241455,1, table,True,EleutherAI/pythia-160m,64,162322944
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,10.799969673156738,10.799969673156738,10.799969673156738,10.533971786499023,10.22488784790039,1, table,True,EleutherAI/pythia-160m,64,162322944
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,11.345060348510742,11.345060348510742,11.345060348510742,8.1484375,9.444501876831055,1, diamond,True,EleutherAI/pythia-160m,64,162322944
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,11.378238677978516,11.378238677978516,11.378238677978516,8.137590408325195,9.455367088317871,1, diamond,True,EleutherAI/pythia-160m,64,162322944
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,9.896068572998047,9.896068572998047,9.896068572998047,9.846516609191895,6.908924102783203,1, bill,True,EleutherAI/pythia-160m,64,162322944
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,9.870718955993652,9.870718955993652,9.870718955993652,9.828949928283691,6.903668403625488,1, bill,True,EleutherAI/pythia-160m,64,162322944
Kara's loud neighbors made so much racket that it made the racket her kids were making seem like nothing.,racket,subordinate,yes,no,10.7816743850708,10.7816743850708,10.7816743850708,9.577953338623047,10.05079460144043,1, racket,True,EleutherAI/pythia-160m,64,162322944
Kara's loud neighbors made so much noise that it made the racket her kids were making seem like nothing.,racket,subordinate,no,no,10.802425384521484,10.802425384521484,10.802425384521484,9.556375503540039,10.110153198242188,1, racket,True,EleutherAI/pythia-160m,64,162322944
"Susan's job was to clean the stall and pen every day, which was easy except that the pen was a mess.",pen,subordinate,yes,no,11.234537124633789,11.234537124633789,11.234537124633789,9.178252220153809,3.319744110107422,1, pen,True,EleutherAI/pythia-160m,64,162322944
"Susan's job was to clean the barn each day, which was easy except that the pen was a mess.",pen,subordinate,no,no,11.25271224975586,11.25271224975586,11.25271224975586,9.210578918457031,3.2632274627685547,1, pen,True,EleutherAI/pythia-160m,64,162322944
"The votes between disco and ball for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,yes,no,9.996868133544922,9.996868133544922,9.996868133544922,11.649163246154785,3.7825307846069336,1, ball,True,EleutherAI/pythia-160m,64,162322944
"The votes for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,no,no,9.903879165649414,9.903879165649414,9.903879165649414,11.635164260864258,3.8784799575805664,1, ball,True,EleutherAI/pythia-160m,64,162322944
"When Joe found the flooded bank, he grabbed his boots before walking along the bank to work.",bank,subordinate,yes,no,10.678216934204102,10.678216934204102,10.678216934204102,5.767261505126953,10.598732948303223,1, bank,True,EleutherAI/pythia-160m,64,162322944
"When Joe found the flooded river, he grabbed his boots before walking along the bank to work.",bank,subordinate,no,no,10.659186363220215,10.659186363220215,10.659186363220215,5.847806930541992,10.613852500915527,1, bank,True,EleutherAI/pythia-160m,64,162322944
At the museum the kids saw the machine for sending a wire and each student sent a wire to a friend.,wire,subordinate,yes,no,10.901115417480469,10.901115417480469,10.901115417480469,5.408167839050293,4.80755090713501,1, wire,True,EleutherAI/pythia-160m,64,162322944
At the museum the kids saw the machine for sending a telegram and each student sent a wire to a friend.,wire,subordinate,no,no,10.92125129699707,10.92125129699707,10.92125129699707,5.459354400634766,4.802797794342041,1, wire,True,EleutherAI/pythia-160m,64,162322944
"The hunting lodge was full of antlers and horns, but most impressive was the rhino horn hanging on the wall.",horn,subordinate,yes,no,10.559769630432129,10.559769630432129,10.559769630432129,10.819068908691406,9.057964324951172,1, horn,True,EleutherAI/pythia-160m,64,162322944
"The hunting lodge was full of trophies, but most impressive was the rhino horn hanging on the wall.",horn,subordinate,no,no,10.612188339233398,10.612188339233398,10.612188339233398,10.88880729675293,9.153152465820312,1, horn,True,EleutherAI/pythia-160m,64,162322944
"Jamie wanted to go on a tour of the treasury and the mint, but on Mondays the mint was closed to the public.",mint,subordinate,yes,no,10.861431121826172,10.861431121826172,10.861431121826172,9.059292793273926,10.608158111572266,1, mint,True,EleutherAI/pythia-160m,64,162322944
"Jamie wanted to go on a tour of where money is made, but on Mondays the mint was closed to the public.",mint,subordinate,no,no,10.852620124816895,10.852620124816895,10.852620124816895,9.097519874572754,10.512279510498047,1, mint,True,EleutherAI/pythia-160m,64,162322944
Pam had to decide whether to fly first-class or coach; she decided to fly coach because the ticket was cheaper.,coach,subordinate,yes,no,10.602607727050781,10.602607727050781,10.602607727050781,9.707061767578125,3.8597187995910645,1, coach,True,EleutherAI/pythia-160m,64,162322944
Pam had to decide whether or not to fly in first-class; she decided to fly coach because the ticket was cheaper.,coach,subordinate,no,no,10.69737434387207,10.69737434387207,10.69737434387207,9.76355266571045,3.886798143386841,1, coach,True,EleutherAI/pythia-160m,64,162322944
"To tend a hot fire, it's best to use a stick or a poker, but when it's really hot a metal poker can burn you.",poker,subordinate,yes,no,11.478815078735352,11.478815078735352,11.478815078735352,9.289501190185547,11.216772079467773,1, poker,True,EleutherAI/pythia-160m,64,162322944
"To tend a hot fire, it's best to use a stick or tool, but when it's really hot a metal poker can burn you.",poker,subordinate,no,no,11.537603378295898,11.537603378295898,11.537603378295898,9.334447860717773,11.188034057617188,1, poker,True,EleutherAI/pythia-160m,64,162322944
"Even though the pet store had cute huskies and boxers, John had no difficulty picking the boxer puppy for his son.",boxer,subordinate,yes,no,9.038308143615723,18.89989948272705,9.449949741363525,10.783669471740723,8.884109497070312,2, boxer,True,EleutherAI/pythia-160m,64,162322944
"Even though the pet store had many cute puppies, John had no difficulty picking the boxer puppy for his son.",boxer,subordinate,no,no,9.010202407836914,18.746898651123047,9.373449325561523,10.79313850402832,8.951899528503418,2, boxer,True,EleutherAI/pythia-160m,64,162322944
"The president began the meeting with his cabinet and advisors, but only the cabinet was allowed to stay for the end.",cabinet,subordinate,yes,no,10.73112678527832,10.73112678527832,10.73112678527832,9.713043212890625,9.522893905639648,1, cabinet,True,EleutherAI/pythia-160m,64,162322944
"The president began the meeting with all his advisors, but only the cabinet was allowed to stay for the end.",cabinet,subordinate,no,no,10.742420196533203,10.742420196533203,10.742420196533203,9.718961715698242,9.570389747619629,1, cabinet,True,EleutherAI/pythia-160m,64,162322944
"Martin saw the perfect engagement ring and wedding band set, but was disappointed when the band was sold out.",band,subordinate,yes,no,9.756462097167969,9.756462097167969,9.756462097167969,9.596397399902344,10.634115219116211,1, band,True,EleutherAI/pythia-160m,64,162322944
"Martin saw the perfect engagement ring set, but was disappointed when the band was sold out.",band,subordinate,no,no,9.7947416305542,9.7947416305542,9.7947416305542,9.687594413757324,10.592130661010742,1, band,True,EleutherAI/pythia-160m,64,162322944
"On the flute certain notes are hard to play, but they are not as bad as the same notes on the oboe.",notes,subordinate,yes,yes,11.343940734863281,11.343940734863281,11.343940734863281,8.586697578430176,1.22029709815979,1, notes,True,EleutherAI/pythia-160m,64,162322944
"On the flute certain sounds are hard to play, but they are not as bad as the same notes on the oboe.",notes,subordinate,no,yes,11.324483871459961,11.324483871459961,11.324483871459961,8.544595718383789,1.240078091621399,1, notes,True,EleutherAI/pythia-160m,64,162322944
"The sound problem could only be due to either the speaker or the cable, it turned out that the speaker was broken.",speaker,subordinate,yes,no,10.848505020141602,10.848505020141602,10.848505020141602,9.161123275756836,8.733716011047363,1, speaker,True,EleutherAI/pythia-160m,64,162322944
"The sound problem could only be due to a few things, it turned out that the speaker was broken.",speaker,subordinate,no,no,10.863162994384766,10.863162994384766,10.863162994384766,9.095965385437012,8.685659408569336,1, speaker,True,EleutherAI/pythia-160m,64,162322944
"Erin knew to check the map's legend to figure out what the symbols meant, but there was no legend on her map.",legend,subordinate,yes,no,10.560604095458984,10.560604095458984,10.560604095458984,8.700700759887695,9.440690994262695,1, legend,True,EleutherAI/pythia-160m,64,162322944
"Erin knew to check the map to figure out what the symbols meant, but there was no legend on her map.",legend,subordinate,no,no,10.522369384765625,10.522369384765625,10.522369384765625,8.753815650939941,9.428601264953613,1, legend,True,EleutherAI/pythia-160m,64,162322944
"Kayla was hoping to get a condo on the fourth story, but the best they had was the third story so she didn't buy it.",story,subordinate,yes,no,10.73027229309082,10.73027229309082,10.73027229309082,8.871976852416992,9.961145401000977,1, story,True,EleutherAI/pythia-160m,64,162322944
"Kayla was hoping to get a condo on the fourth floor, but the best they had was the third story so she didn't buy it.",story,subordinate,no,no,10.747406005859375,10.747406005859375,10.747406005859375,8.85081672668457,9.95638370513916,1, story,True,EleutherAI/pythia-160m,64,162322944
"No one wants to live near an electrical station or a plant, so the homes next to the plant were vacant.",plant,subordinate,yes,no,11.720417022705078,11.720417022705078,11.720417022705078,8.698932647705078,11.605935096740723,1, plant,True,EleutherAI/pythia-160m,64,162322944
"No one wants to live near manufacturing facilities, so the homes next to the plant were vacant.",plant,subordinate,no,no,11.75917911529541,11.75917911529541,11.75917911529541,8.77962875366211,11.557111740112305,1, plant,True,EleutherAI/pythia-160m,64,162322944
"After hiking Mike had some cuts on his feet and a corn on one toe, after the walk home he had a corn on each foot.",corn,subordinate,yes,no,10.640872955322266,10.640872955322266,10.640872955322266,9.313200950622559,9.707616806030273,1, corn,True,EleutherAI/pythia-160m,64,162322944
"After hiking Mike had some cuts on his feet, after the walk home he had a corn on each foot.",corn,subordinate,no,no,10.684028625488281,10.684028625488281,10.684028625488281,9.389094352722168,9.693202018737793,1, corn,True,EleutherAI/pythia-160m,64,162322944
"Paul had only seen nuns in black habits, so when he saw a group of nuns in dark blue habits he was very surprised.",habits,subordinate,yes,yes,11.478371620178223,11.478371620178223,11.478371620178223,9.165445327758789,6.403074264526367,1, habits,True,EleutherAI/pythia-160m,64,162322944
"Paul had only seen nuns in black clothes, so when he saw a group of nuns in dark blue habits he was very surprised.",habits,subordinate,no,yes,11.464244842529297,11.464244842529297,11.464244842529297,9.185157775878906,6.373495101928711,1, habits,True,EleutherAI/pythia-160m,64,162322944
"The dentist suggested a root canal and crown, but Todd could only get a crown because he didn't have much money.",crown,subordinate,yes,no,9.63377571105957,9.63377571105957,9.63377571105957,9.809244155883789,7.939855575561523,1, crown,True,EleutherAI/pythia-160m,64,162322944
"The dentist suggested a few different treatments, but Todd could only get a crown because he didn't have much money.",crown,subordinate,no,no,9.681985855102539,9.681985855102539,9.681985855102539,9.763710975646973,7.990043640136719,1, crown,True,EleutherAI/pythia-160m,64,162322944
"His lawyer assured him that he could beat the first law suit, but the second law suit would be a challenge.",suit,subordinate,yes,no,11.14605712890625,11.14605712890625,11.14605712890625,9.47482681274414,2.548924446105957,1, suit,True,EleutherAI/pythia-160m,64,162322944
"His lawyer assured him that he could beat the first case, but the second law suit would be a challenge.",suit,subordinate,no,no,11.111321449279785,11.111321449279785,11.111321449279785,9.474148750305176,2.577906370162964,1, suit,True,EleutherAI/pythia-160m,64,162322944
"The walls looked ok after the first coat finished drying, but Katie applied a second coat to really make them pop.",coat,subordinate,yes,no,10.195215225219727,10.195215225219727,10.195215225219727,5.898367881774902,10.232566833496094,1, coat,True,EleutherAI/pythia-160m,64,162322944
"The walls looked ok after the paint finished drying, but Katie applied a second coat to really make them pop.",coat,subordinate,no,no,10.245817184448242,10.245817184448242,10.245817184448242,5.814489364624023,10.202676773071289,1, coat,True,EleutherAI/pythia-160m,64,162322944
"Evan went to the movie premier in hopes of meeting his two favorite stars, but one of the stars didn't show up.",stars,subordinate,yes,yes,10.902549743652344,10.902549743652344,10.902549743652344,10.4326753616333,8.112025260925293,1, stars,True,EleutherAI/pythia-160m,64,162322944
"Evan went to the movie premier in hopes of meeting his two favorite actors, but one of the stars didn't show up.",stars,subordinate,no,yes,10.862257957458496,10.862257957458496,10.862257957458496,10.456087112426758,8.098075866699219,1, stars,True,EleutherAI/pythia-160m,64,162322944
"As best man, Kurt's jobs were to hold the rings and give a toast, which was fine except the toast made him nervous.",toast,subordinate,yes,no,10.94627571105957,10.94627571105957,10.94627571105957,10.981585502624512,10.351950645446777,1, toast,True,EleutherAI/pythia-160m,64,162322944
"As best man, Kurt's jobs were to say a few words at the reception, which was fine except the toast made him nervous.",toast,subordinate,no,no,10.956098556518555,10.956098556518555,10.956098556518555,10.951738357543945,10.288320541381836,1, toast,True,EleutherAI/pythia-160m,64,162322944
In early spring Lara plants tulip bulbs and by the middle of spring the bulbs begin to sprout.,bulbs,subordinate,yes,yes,9.838396072387695,9.838396072387695,9.838396072387695,10.799081802368164,5.240860939025879,1, bulbs,True,EleutherAI/pythia-160m,64,162322944
In early spring Lara plants tulips and by the middle of spring the bulbs begin to sprout.,bulbs,subordinate,no,yes,9.792861938476562,9.792861938476562,9.792861938476562,10.77952766418457,5.257030487060547,1, bulbs,True,EleutherAI/pythia-160m,64,162322944
"When the shepherd lost his supplies and staff, he had to use a stick as his staff that day on the trail.",staff,subordinate,yes,no,10.249439239501953,10.249439239501953,10.249439239501953,8.203522682189941,10.212896347045898,1, staff,True,EleutherAI/pythia-160m,64,162322944
"When the shepherd lost his supplies, he had to use a stick as his staff that day on the trail.",staff,subordinate,no,no,10.185184478759766,10.185184478759766,10.185184478759766,8.152708053588867,10.201643943786621,1, staff,True,EleutherAI/pythia-160m,64,162322944
"Although the election for department chair was usually very close, this year the chair was elected unanimously.",chair,subordinate,yes,no,10.401214599609375,10.401214599609375,10.401214599609375,9.212393760681152,11.10677719116211,1, chair,True,EleutherAI/pythia-160m,64,162322944
"Although the election for department head was usually very close, this year the chair was elected unanimously",chair,subordinate,no,no,10.399191856384277,10.399191856384277,10.399191856384277,9.281097412109375,11.050203323364258,1, chair,True,EleutherAI/pythia-160m,64,162322944
"Emily hated eating food with seeds or a pit, so she was upset to find a pit in the exotic fruit she tried.",pit,subordinate,yes,no,10.211337089538574,10.211337089538574,10.211337089538574,6.503865718841553,1.4408361911773682,1, pit,True,EleutherAI/pythia-160m,64,162322944
"Emily hated eating food with inedible parts inside, so she was upset to find a pit in the exotic fruit she tried.",pit,subordinate,no,no,10.165745735168457,10.165745735168457,10.165745735168457,6.577365398406982,1.4728001356124878,1, pit,True,EleutherAI/pythia-160m,64,162322944
"The ship docked at the port, but the sailors didn't want to stay in the port that evening.",port,dominant,yes,no,9.431903839111328,9.431903839111328,9.431903839111328,8.378402709960938,11.244707107543945,1, port,True,EleutherAI/pythia-160m,64,162322944
"The ship docked at the harbor, but the sailors didn't want to stay in the port that evening.",port,dominant,no,no,9.429036140441895,9.429036140441895,9.429036140441895,8.416637420654297,11.248214721679688,1, port,True,EleutherAI/pythia-160m,64,162322944
"The food could be weighed with a balance or scale, but Marcy chose a scale because it was more precise",scale,dominant,yes,no,9.911296844482422,9.911296844482422,9.911296844482422,9.841636657714844,7.4035844802856445,1, scale,True,EleutherAI/pythia-160m,64,162322944
"The food could be weighed a few different ways, but Marcy chose a scale because it was more precise.",scale,dominant,no,no,9.956817626953125,9.956817626953125,9.956817626953125,9.858319282531738,7.348193168640137,1, scale,True,EleutherAI/pythia-160m,64,162322944
