sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model,checkpoint,n_params
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,2.7160439491271973,2.7160439491271973,2.7160439491271973,2.8255553245544434,1.2889180183410645,1, port,True,EleutherAI/pythia-12b,128000,11846072320
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,11.283526420593262,11.283526420593262,11.283526420593262,4.517802715301514,1.1937108039855957,1, port,True,EleutherAI/pythia-12b,128000,11846072320
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,3.346257448196411,3.346257448196411,3.346257448196411,2.5799002647399902,2.2524166107177734,1, scales,True,EleutherAI/pythia-12b,128000,11846072320
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,4.405200004577637,4.405200004577637,4.405200004577637,5.163151264190674,4.657989501953125,1, scales,True,EleutherAI/pythia-12b,128000,11846072320
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,3.836127758026123,3.836127758026123,3.836127758026123,4.655789852142334,9.484241485595703,1, table,True,EleutherAI/pythia-12b,128000,11846072320
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,2.7664456367492676,2.7664456367492676,2.7664456367492676,5.74589729309082,10.202754020690918,1, table,True,EleutherAI/pythia-12b,128000,11846072320
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,3.570604085922241,3.570604085922241,3.570604085922241,4.334559440612793,0.979629397392273,1, diamond,True,EleutherAI/pythia-12b,128000,11846072320
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,5.324861526489258,5.324861526489258,5.324861526489258,3.979015588760376,0.9860020279884338,1, diamond,True,EleutherAI/pythia-12b,128000,11846072320
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,3.5383353233337402,3.5383353233337402,3.5383353233337402,3.9245340824127197,1.0382155179977417,1, bill,True,EleutherAI/pythia-12b,128000,11846072320
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,3.989875316619873,3.989875316619873,3.989875316619873,4.461086750030518,1.0471798181533813,1, bill,True,EleutherAI/pythia-12b,128000,11846072320
Kara's loud neighbors made so much racket that it made the racket her kids were making seem like nothing.,racket,subordinate,yes,no,7.955108642578125,7.955108642578125,7.955108642578125,5.316736221313477,4.695363998413086,1, racket,True,EleutherAI/pythia-12b,128000,11846072320
Kara's loud neighbors made so much noise that it made the racket her kids were making seem like nothing.,racket,subordinate,no,no,8.611410140991211,8.611410140991211,8.611410140991211,5.8527512550354,4.791085243225098,1, racket,True,EleutherAI/pythia-12b,128000,11846072320
"Susan's job was to clean the stall and pen every day, which was easy except that the pen was a mess.",pen,subordinate,yes,no,3.451587677001953,3.451587677001953,3.451587677001953,0.5570363998413086,3.166124105453491,1, pen,True,EleutherAI/pythia-12b,128000,11846072320
"Susan's job was to clean the barn each day, which was easy except that the pen was a mess.",pen,subordinate,no,no,8.189412117004395,8.189412117004395,8.189412117004395,1.6167198419570923,3.3663578033447266,1, pen,True,EleutherAI/pythia-12b,128000,11846072320
"The votes between disco and ball for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,yes,no,2.8840813636779785,2.8840813636779785,2.8840813636779785,0.7584158182144165,3.2372841835021973,1, ball,True,EleutherAI/pythia-12b,128000,11846072320
"The votes for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,no,no,5.613365173339844,5.613365173339844,5.613365173339844,4.612037658691406,3.2859294414520264,1, ball,True,EleutherAI/pythia-12b,128000,11846072320
"When Joe found the flooded bank, he grabbed his boots before walking along the bank to work.",bank,subordinate,yes,no,2.588106155395508,2.588106155395508,2.588106155395508,1.1155928373336792,7.288464546203613,1, bank,True,EleutherAI/pythia-12b,128000,11846072320
"When Joe found the flooded river, he grabbed his boots before walking along the bank to work.",bank,subordinate,no,no,1.7058732509613037,1.7058732509613037,1.7058732509613037,1.2635457515716553,7.599074363708496,1, bank,True,EleutherAI/pythia-12b,128000,11846072320
At the museum the kids saw the machine for sending a wire and each student sent a wire to a friend.,wire,subordinate,yes,no,1.2909408807754517,1.2909408807754517,1.2909408807754517,1.2257336378097534,1.6718405485153198,1, wire,True,EleutherAI/pythia-12b,128000,11846072320
At the museum the kids saw the machine for sending a telegram and each student sent a wire to a friend.,wire,subordinate,no,no,6.333759784698486,6.333759784698486,6.333759784698486,0.9746794104576111,1.5737967491149902,1, wire,True,EleutherAI/pythia-12b,128000,11846072320
