Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,word,log_freq,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,subject,survey_code,stimulus,key_press,sensible,critical,Class,practice,order,string,same,version_with_order,item_version,item,source,different_frame,ambiguity_type,response,correct_response,Gender,Native_Speaker,Mobile_Device,Age,B1,B2,version,bot_avg,log_rt,rt_z,count.x,prior_accuracy,prior_rt,distance_bert,distance_elmo,mean_relatedness,median_relatedness,sd_relatedness,se_relatedness,count.y,length
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1440,NA,html-keyboard-response,151,206170,0.0-71.0-1.0,u6tgegpyj0,u6tgegpyj0,It was a reddish orange.<p>,88,S,yes,N,main,second,orange,FALSE,M1_b_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Prefer not to answer,Yes,No,20,2,Chair,M1_b_M2_b,1,7.272398393,1.85376585,55,0.935483871,7.494894462,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1564,NA,html-keyboard-response,119,232451,0.0-55.0-1.0,1vz3fdcvtw,1vz3fdcvtw,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,20,2,Chair,M1_a_M2_b,1,7.355001921,0.242158183,55,1,7.039160345,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1617,NA,html-keyboard-response,117,348745,0.0-54.0-1.0,mwacu22792,mwacu22792,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_b,M1_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,19,2,Chair,M1_b_M2_b,1,7.38832786,0.125712007,55,0.95,7.102598757,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1127,NA,html-keyboard-response,203,210274,0.0-97.0-1.0,v75fv9pagb,v75fv9pagb,It was a bright orange.<p>,77,S,yes,N,main,second,orange,TRUE,M2_b_M2_a,M2_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,29,2,Chair,M2_a_M2_b,1,7.027314514,0.773634137,54,0.913043478,7.391342004,0.122556508,0.056215107,4,4,0,0,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1321,NA,html-keyboard-response,145,337437,0.0-68.0-1.0,9fkbaxk3zu,9fkbaxk3zu,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,TRUE,M2_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,18,2,Chair,M2_a_M2_b,1,7.186144305,-0.326740703,55,0.935483871,7.494894462,0.122556508,0.056215107,4,4,0,0,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,577,NA,html-keyboard-response,93,154125,0.0-42.0-1.0,np8fheoehh,np8fheoehh,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,21,2,Chair,M1_a_M1_b,1,6.357842267,-0.812261551,55,1,7.039160345,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1437,NA,html-keyboard-response,187,262178,0.0-89.0-1.0,xyokc18f4l,xyokc18f4l,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_a_M1_b,M1_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair,M1_b_M2_a,1,7.270312886,0.861597927,55,0.95,7.102598757,0.236619532,0.085292876,2.5,3,1.603567451,0.56694671,8,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1252,NA,html-keyboard-response,191,383817,0.0-91.0-1.0,nkwr4ou2vr,nkwr4ou2vr,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_b,M1_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_b_M2_b,1,7.132497552,-0.357933039,55,0.95,7.102598757,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1334,NA,html-keyboard-response,221,1732800,0.0-106.0-1.0,ael4gl3t9n,ael4gl3t9n,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,22,2,Chair,M1_a_M2_b,1,7.195937226,-0.465053834,55,0.935483871,7.494894462,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1923,NA,html-keyboard-response,227,483280,0.0-109.0-1.0,gl71hqusr0,gl71hqusr0,It was a juicy orange.<p>,88,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Male,Yes,No,23,2,Chair,M1_a_M2_b,1,7.561641746,0.686818998,56,1,7.039160345,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
